query,url,grade
powershell,https://docs.microsoft.com/en-us/powershell/scripting/overview,10
powershell,https://docs.microsoft.com/en-us/powershell/,9
powershell,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/powershell,8
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-powershell,7
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-windows-powershell,6
powershell,https://docs.microsoft.com/en-us/powershell/scripting/getting-started/getting-started-with-windows-powershell,5
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-powershell-core-on-windows,4
powershell,https://docs.microsoft.com/en-us/powershell/azure/active-directory/overview,3
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-powershell-core-on-linux,2
powershell,https://docs.microsoft.com/en-us/virtualization/hyper-v-on-windows/quick-start/try-hyper-v-powershell,1
power bi,https://docs.microsoft.com/en-us/power-bi/fundamentals/power-bi-overview,10
power bi,https://docs.microsoft.com/en-us/power-bi/guided-learning/,9
power bi,https://docs.microsoft.com/en-us/power-bi/,8
power bi,https://docs.microsoft.com/en-us/power-bi/service-get-started,7
power bi,https://docs.microsoft.com/en-us/learn/modules/get-started-with-power-bi/,6
power bi,https://docs.microsoft.com/en-us/power-bi/service-admin-purchasing-power-bi-pro,5
power bi,https://docs.microsoft.com/en-us/power-bi/desktop-what-is-desktop,4
power bi,https://docs.microsoft.com/en-us/power-bi/desktop-videos,3
power bi,https://docs.microsoft.com/en-us/azure/azure-monitor/platform/powerbi,2
power bi,https://docs.microsoft.com/en-us/power-bi/service-azure-and-power-bi,1
sharepoint,https://docs.microsoft.com/en-us/sharepoint/,10
sharepoint,https://docs.microsoft.com/en-us/sharepoint/introduction,9
sharepoint,https://docs.microsoft.com/en-us/connectors/sharepointonline/,8
sharepoint,https://docs.microsoft.com/en-us/sharepoint/dev/spfx/sharepoint-framework-overview,7
sharepoint,https://docs.microsoft.com/en-us/sharepointmigration/introducing-the-sharepoint-migration-tool,6
sharepoint,https://docs.microsoft.com/en-us/sharepoint/sharepoint-online,5
sharepoint,https://docs.microsoft.com/en-us/sharepoint/dev/,4
sharepoint,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/app-from-sharepoint,3
sharepoint,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/connections/connection-sharepoint-online,2
sharepoint,https://docs.microsoft.com/en-us/sharepoint/dev/transform/modernize-scanner,1
excel,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/connections/connection-excel,10
excel,https://docs.microsoft.com/en-us/office/troubleshoot/excel/get-latest-excel-viewer,9
excel,https://docs.microsoft.com/en-us/azure/devops/boards/backlogs/office/bulk-add-modify-work-items-excel,8
excel,https://docs.microsoft.com/en-us/power-bi/service-analyze-in-excel,7
excel,https://docs.microsoft.com/en-us/connectors/excel/,5
excel,https://docs.microsoft.com/en-us/learn/certifications/exams/77-727,4
excel,https://docs.microsoft.com/en-us/learn/certifications/mos-excel-expert-2019,3
excel,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/get-started-create-from-data,2
excel,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/share-app-data,1
active directory,https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/get-started/virtual-dc/active-directory-domain-services-overview,10
active directory,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,9
active directory,https://docs.microsoft.com/en-us/powershell/module/addsadministration/,8
active directory,https://docs.microsoft.com/en-us/windows/win32/ad/active-directory-domain-services,7
active directory,https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/active-directory-domain-services,6
active directory,https://docs.microsoft.com/en-us/azure/active-directory/,5
active directory,https://docs.microsoft.com/en-us/windows/win32/adsi/so-what-is-active-directory,4
active directory,https://docs.microsoft.com/en-us/windows-server/identity/active-directory-federation-services,3
active directory,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/concept-fundamentals-security-defaults,2
active directory,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/whatis-hybrid-identity,1
sql,https://docs.microsoft.com/en-us/sql/ssms/download-sql-server-management-studio-ssms,10
sql,https://docs.microsoft.com/en-us/sql/ssdt/download-sql-server-data-tools-ssdt,9
sql,https://docs.microsoft.com/en-us/sql/t-sql/language-reference,8
sql,https://docs.microsoft.com/en-us/sql/azure-data-studio/download-azure-data-studio,7
sql,https://docs.microsoft.com/en-us/azure/sql-database/,6
sql,https://docs.microsoft.com/en-us/sql/t-sql/tutorial-writing-transact-sql-statements,5
sql,https://docs.microsoft.com/en-us/sql/t-sql/language-elements/transact-sql-syntax-conventions-transact-sql,4
sql,https://docs.microsoft.com/en-us/sql/,3
sql,https://docs.microsoft.com/en-us/azure/azure-monitor/log-query/sql-cheatsheet,2
sql,https://docs.microsoft.com/en-us/sql/sql-server/,1
python,https://docs.microsoft.com/en-us/azure/bot-service/python/bot-builder-python-quickstart,10
python,https://docs.microsoft.com/en-us/azure/python/,9
python,https://docs.microsoft.com/en-us/azure/devops/pipelines/ecosystems/python,8
python,https://docs.microsoft.com/en-us/learn/modules/intro-to-python/,7
python,https://docs.microsoft.com/en-us/azure/python/tutorial-vs-code-serverless-python-01,6
python,https://docs.microsoft.com/en-us/azure/devops/pipelines/tasks/tool/use-python-version,5
python,https://docs.microsoft.com/en-us/azure/azure-functions/functions-reference-python,4
python,https://docs.microsoft.com/en-us/visualstudio/python/,3
python,https://docs.microsoft.com/en-us/azure/cosmos-db/create-sql-api-python,2
python,https://docs.microsoft.com/en-us/azure/automation/automation-runbook-types,1
c#,https://docs.microsoft.com/en-us/dotnet/csharp/,10
c#,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/,9
c#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/,8
c#,https://docs.microsoft.com/en-us/dotnet/csharp/getting-started/introduction-to-the-csharp-language-and-the-net-framework,7
c#,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/,6
c#,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/intro-to-csharp/,5
c#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/language-specification/introduction,4
c#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/operators/null-coalescing-operator,3
c#,https://docs.microsoft.com/en-us/dotnet/csharp/async,2
c#,https://docs.microsoft.com/en-us/dotnet/csharp/pattern-matching,1
teams,https://docs.microsoft.com/en-us/microsoftteams/teams-overview,10
teams,https://docs.microsoft.com/en-us/microsoftteams/microsoft-teams,9
teams,https://docs.microsoft.com/en-us/learn/certifications/m365-teams-administrator-associate,8
teams,https://docs.microsoft.com/en-us/microsoftteams/private-channels,7
teams,https://docs.microsoft.com/en-us/microsoftteams/instructor-led-training-teams-landing-page,6
teams,https://docs.microsoft.com/en-us/microsoftteams/adopt-microsoft-teams-landing-page,5
teams,https://docs.microsoft.com/en-us/learn/certifications/exams/ms-700,4
teams,https://docs.microsoft.com/en-us/microsoftteams/itadmin-readiness,3
teams,https://docs.microsoft.com/en-us/microsoftteams/rooms/requirements,2
teams,https://docs.microsoft.com/en-us/microsoftteams/teams-architecture-solutions-posters,1
array,https://docs.microsoft.com/en-us/dotnet/api/system.array,7
password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/active-directory-passwords-reset-register,10
password,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-password-hash-synchronization,9
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/tutorial-enable-sspr,8
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-writeback,7
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/concept-sspr-policy,6
password,https://docs.microsoft.com/en-us/intune-user-help/password-does-not-meet-it-administrator-requirements,5
password,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-master-key-transact-sql,4
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-password-ban-bad-on-premises-deploy,3
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/concept-password-ban-bad-on-premises,2
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-deployment,1
string,https://docs.microsoft.com/en-us/dotnet/api/system.string,8
string,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/reference-types,7
format,https://docs.microsoft.com/en-us/sql/t-sql/functions/format-transact-sql,10
format,https://docs.microsoft.com/en-us/dotnet/api/system.string.format,9
format,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/format,8
format,https://docs.microsoft.com/en-us/dotnet/standard/base-types/standard-numeric-format-strings,7
format,https://docs.microsoft.com/en-us/office/vba/language/reference/user-interface-help/format-function-visual-basic-for-applications,5
format,https://docs.microsoft.com/en-us/dotnet/standard/base-types/custom-date-and-time-format-strings,4
format,https://docs.microsoft.com/en-us/windows/win32/debug/pe-format,3
format,https://docs.microsoft.com/en-us/dotnet/standard/base-types/standard-date-and-time-format-strings,2
format,https://docs.microsoft.com/en-us/dotnet/api/system.windows.media.imaging.bitmapsource.format,1
azure,https://docs.microsoft.com/en-us/azure/,10
azure,https://docs.microsoft.com/en-us/cli/azure/,9
azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/overview,8
azure,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,7
azure,https://docs.microsoft.com/en-us/azure/azure-monitor/overview,6
azure,https://docs.microsoft.com/en-us/azure/storage/,5
